Text name: res/res_cn_cls_cifar10_pairflip_rate45_lr1e-02_pi1_bias2e-01_k_mix10_gap_mixup01_sgd_max_epoch200_lsecoer1e-04.txt
[00/200] [Loss] train:-0.185(f:-0.192+r:0.001+k:0.001+l:0.006) val:-0.206 test:-0.206 [Accr] train:23.0% val:27.1% test:27.1% maxVal:27.1% maxTest:27.1%
[02/200] [Loss] train:-0.244(f:-0.252+r:0.001+k:0.001+l:0.006) val:-0.279 test:-0.279 [Accr] train:27.0% val:31.0% test:31.0% maxVal:31.0% maxTest:31.0%
[04/200] [Loss] train:-0.265(f:-0.273+r:0.001+k:0.001+l:0.006) val:-0.357 test:-0.356 [Accr] train:28.3% val:38.4% test:38.4% maxVal:38.4% maxTest:38.4%
[06/200] [Loss] train:-0.298(f:-0.307+r:0.001+k:0.001+l:0.006) val:-0.404 test:-0.403 [Accr] train:31.4% val:43.2% test:43.2% maxVal:43.2% maxTest:43.2%
[08/200] [Loss] train:-0.321(f:-0.329+r:0.001+k:0.001+l:0.006) val:-0.417 test:-0.417 [Accr] train:33.4% val:43.6% test:43.6% maxVal:43.6% maxTest:43.6%
[10/200] [Loss] train:-0.334(f:-0.342+r:0.001+k:0.001+l:0.006) val:-0.446 test:-0.445 [Accr] train:35.3% val:47.3% test:47.3% maxVal:47.3% maxTest:47.3%
[12/200] [Loss] train:-0.329(f:-0.337+r:0.001+k:0.001+l:0.006) val:-0.448 test:-0.448 [Accr] train:34.4% val:46.8% test:46.8% maxVal:47.3% maxTest:47.3%
[14/200] [Loss] train:-0.334(f:-0.343+r:0.001+k:0.001+l:0.006) val:-0.432 test:-0.432 [Accr] train:35.2% val:45.7% test:45.7% maxVal:47.3% maxTest:47.3%
[16/200] [Loss] train:-0.330(f:-0.339+r:0.001+k:0.002+l:0.006) val:-0.442 test:-0.442 [Accr] train:34.4% val:46.4% test:46.4% maxVal:47.3% maxTest:47.3%
[18/200] [Loss] train:-0.343(f:-0.351+r:0.001+k:0.001+l:0.006) val:-0.453 test:-0.454 [Accr] train:35.8% val:47.3% test:47.3% maxVal:47.3% maxTest:47.3%
[20/200] [Loss] train:-0.371(f:-0.380+r:0.002+k:0.001+l:0.006) val:-0.485 test:-0.486 [Accr] train:38.6% val:50.6% test:50.6% maxVal:50.6% maxTest:50.6%
[22/200] [Loss] train:-0.383(f:-0.392+r:0.002+k:0.001+l:0.006) val:-0.493 test:-0.493 [Accr] train:39.7% val:51.0% test:51.0% maxVal:51.0% maxTest:51.0%
[24/200] [Loss] train:-0.377(f:-0.386+r:0.002+k:0.001+l:0.006) val:-0.490 test:-0.490 [Accr] train:39.2% val:50.8% test:50.8% maxVal:51.0% maxTest:51.0%
[26/200] [Loss] train:-0.377(f:-0.386+r:0.002+k:0.001+l:0.006) val:-0.488 test:-0.488 [Accr] train:39.1% val:50.4% test:50.4% maxVal:51.0% maxTest:51.0%
[28/200] [Loss] train:-0.359(f:-0.368+r:0.001+k:0.002+l:0.006) val:-0.495 test:-0.495 [Accr] train:37.2% val:51.2% test:51.2% maxVal:51.2% maxTest:51.2%
[30/200] [Loss] train:-0.394(f:-0.403+r:0.002+k:0.001+l:0.006) val:-0.512 test:-0.513 [Accr] train:40.7% val:52.8% test:52.8% maxVal:52.8% maxTest:52.8%
[32/200] [Loss] train:-0.383(f:-0.393+r:0.002+k:0.002+l:0.006) val:-0.497 test:-0.496 [Accr] train:39.6% val:51.2% test:51.2% maxVal:52.8% maxTest:52.8%
[34/200] [Loss] train:-0.386(f:-0.395+r:0.002+k:0.002+l:0.006) val:-0.500 test:-0.500 [Accr] train:40.0% val:51.5% test:51.5% maxVal:52.8% maxTest:52.8%
[36/200] [Loss] train:-0.401(f:-0.410+r:0.002+k:0.002+l:0.006) val:-0.521 test:-0.521 [Accr] train:41.3% val:53.8% test:53.8% maxVal:53.8% maxTest:53.8%
[38/200] [Loss] train:-0.392(f:-0.401+r:0.002+k:0.001+l:0.006) val:-0.508 test:-0.508 [Accr] train:40.6% val:52.7% test:52.7% maxVal:53.8% maxTest:53.8%
[40/200] [Loss] train:-0.416(f:-0.425+r:0.002+k:0.002+l:0.006) val:-0.540 test:-0.540 [Accr] train:42.9% val:55.5% test:55.5% maxVal:55.5% maxTest:55.5%
[42/200] [Loss] train:-0.418(f:-0.427+r:0.002+k:0.002+l:0.006) val:-0.540 test:-0.540 [Accr] train:43.1% val:55.4% test:55.4% maxVal:55.5% maxTest:55.5%
[44/200] [Loss] train:-0.397(f:-0.407+r:0.002+k:0.002+l:0.006) val:-0.505 test:-0.505 [Accr] train:41.2% val:52.3% test:52.3% maxVal:55.5% maxTest:55.5%
[46/200] [Loss] train:-0.415(f:-0.425+r:0.002+k:0.002+l:0.006) val:-0.532 test:-0.533 [Accr] train:42.8% val:54.7% test:54.7% maxVal:55.5% maxTest:55.5%
[48/200] [Loss] train:-0.418(f:-0.427+r:0.002+k:0.002+l:0.006) val:-0.546 test:-0.545 [Accr] train:43.0% val:56.2% test:56.2% maxVal:56.2% maxTest:56.2%
[50/200] [Loss] train:-0.425(f:-0.434+r:0.002+k:0.002+l:0.006) val:-0.531 test:-0.531 [Accr] train:43.7% val:54.6% test:54.6% maxVal:56.2% maxTest:56.2%
[52/200] [Loss] train:-0.416(f:-0.425+r:0.002+k:0.002+l:0.006) val:-0.520 test:-0.519 [Accr] train:43.0% val:53.5% test:53.5% maxVal:56.2% maxTest:56.2%
[54/200] [Loss] train:-0.432(f:-0.441+r:0.002+k:0.002+l:0.006) val:-0.551 test:-0.550 [Accr] train:44.5% val:56.5% test:56.5% maxVal:56.5% maxTest:56.5%
[56/200] [Loss] train:-0.418(f:-0.428+r:0.002+k:0.002+l:0.006) val:-0.535 test:-0.535 [Accr] train:43.0% val:55.1% test:55.1% maxVal:56.5% maxTest:56.5%
[58/200] [Loss] train:-0.427(f:-0.436+r:0.002+k:0.002+l:0.006) val:-0.522 test:-0.521 [Accr] train:44.0% val:53.8% test:53.8% maxVal:56.5% maxTest:56.5%
[60/200] [Loss] train:-0.420(f:-0.430+r:0.002+k:0.002+l:0.006) val:-0.521 test:-0.521 [Accr] train:43.2% val:53.4% test:53.4% maxVal:56.5% maxTest:56.5%
[62/200] [Loss] train:-0.431(f:-0.440+r:0.002+k:0.002+l:0.006) val:-0.542 test:-0.543 [Accr] train:44.4% val:56.0% test:56.0% maxVal:56.5% maxTest:56.5%
[64/200] [Loss] train:-0.419(f:-0.428+r:0.002+k:0.002+l:0.006) val:-0.542 test:-0.542 [Accr] train:43.0% val:55.4% test:55.4% maxVal:56.5% maxTest:56.5%
[66/200] [Loss] train:-0.436(f:-0.446+r:0.002+k:0.002+l:0.006) val:-0.536 test:-0.536 [Accr] train:44.9% val:54.9% test:54.9% maxVal:56.5% maxTest:56.5%
[68/200] [Loss] train:-0.415(f:-0.424+r:0.002+k:0.002+l:0.006) val:-0.496 test:-0.496 [Accr] train:42.7% val:51.0% test:51.0% maxVal:56.5% maxTest:56.5%
[70/200] [Loss] train:-0.440(f:-0.450+r:0.002+k:0.002+l:0.006) val:-0.546 test:-0.546 [Accr] train:45.2% val:56.0% test:56.0% maxVal:56.5% maxTest:56.5%
[72/200] [Loss] train:-0.446(f:-0.456+r:0.002+k:0.002+l:0.006) val:-0.564 test:-0.564 [Accr] train:45.8% val:57.8% test:57.8% maxVal:57.8% maxTest:57.8%
